word,wordclass,meaning,sentence,
Abu,v, dapat,abu ana du'u jo ma dahi saya mendapatkan ikan di laut   
ade ,n,hati , ,
ado ,adv,tidak , ,
ahhi ,,satu , ,
aju  ,n,  pohon,  ,
akke , v,  mengikat , ,
ama appu , n  ,leluhur,  ,
ama,n,ayah, ,
ammi  ,conj,seperti , ,
ammi mi,adv,  bagaimana,  ,
ammu  ,n,  rumah,  ,
ana duu , n,  ikan, walli anna du'u jo ma paha   saya membeli ikan di pasar  ,
appa  ,,empat, ,
atta  ,v,belok, ,
atte ,v, memotong, ,
awe  ,n,  waktu,,
awu  ,n,  debu,  ,
ba'i  ,v,tidur,  ,
bakke  ,v,membelah , ,
banni  ,conj,supaya,  ,
bui  ,v  ,jatuh  ,,
dai  ,adv,  bawah,  ,
dakka  ,v,datang , ,
dallu  ,n,perut , ,
danno,v,  mendengar,  ,
dara,prep,  dalam,  ,
dari  ,n,tali,   ,
dau ,n, orang , ,
di ,pron, kita,  ,
dida  ,adj,tinggi,  ,
due  ,,dua,  ,
ela , n , mata  ,,
era heke  ,v,terdapat,  ,
era,v,ada,  ,
gi ,conj, kalau,  ,
gu dai ,conj, sehingga,  ,
happi henga  ,v , berhafas , ,
hari hari  ,adj,  semua  ,,
Hawu  ,n,  Sabu,  ,
he kepue  ,,sepohon , ,
he we,adv,  saja , ,
hedau ,pron, seorang  ,,
heke ,, lah,  ,
helama ,, selamat,  ,
helodo-lodo,adj,  sehari-hari , ,
hemate  ,v,  menadah , ,
hemuhe ,v, mengisap,  ,
hengaddo ,v, mencium , ,
hengare  ,v,  menengadah , ,
heniu ,n, seekor,  ,
Hepalla,  v , menjilat  ,,
hewangnga  ,n,  hidung,  ,
hibe  ,v  ,menggigit , ,
hidu bada,  v  ,berburu,  ,
hogo  ,v , memasak,  ,
hugu  ,conj,sehingga,  ,
huti  ,v,menetes , ,
ihi ammu  ,n,suami , ,
ilu,n,air liur,  ,
ina , n,  ibu , ,
jadi ,, bisa,  ,
jagga  ,v,  kerja , jo jagga liadja helodo-lodo   saya kerja tugas setiap hari  ,
jau , v , menjahit , ,
je,conn,dan,
ji ,pron, kami , ,
jo [rja]  ,n  ,saya,  ngara jo Iko   nama saya Iko  ,
kae jalla,  n , kaki  ,,
kae nga'a  ,n,tangan,  ,
kajji  ,v , hinggap,  ,
kako  ,v , berjalan , jo kako ma dida wohelae    saya berjalan di atas pasir  ,
kattu  ,n,  kepala,  ,
kedanga ,adj, kanan , ,
kejunga ,adj, belakang ,,
kepai  ,adv , besar  ,kepai ke ana ngo'i nidhe    anak itu sudah besar  ,
keriu ,adj, kiri , ,
kerungu  ,n,bahu,  ,
kodo,n,  dada ,,
koko  ,n,  leher  ,,
koro  ,n , burung , ,
kuri  ,n,  kulit  ,,
la  ,pron,saya,  ,
lammi , n , lima , ,
li ,n,  bahasa,  ,
li jawi , n , cerita dongeng,,  
li pediri,v , cerita ,, 
lila  ,v , terbang,  ,
liru  ,n,langit , ,
lodo , n,  matahari , ,
lolo,n,  pucuk , ,
ma,prep,  di,,
madda  ,n,malam , ,
maddi , adj,  hitam,  ,
maddu ,, muntah , ,
made  ,v,mati,  ,
mari  ,v,tertawa,  ,
megau ,v, menguap,  ,
mena'o , v  ,mencuri  ,,
meo  ,n , kucing  ,,
merammu,n,awan,  ,
mode,,cara , ,
moko  ,adv,sudah,  ,
muri mada  ,v , hidup,  ,
na ,pron, mereka,    ,
na'a  ,adj,tajam,  ,
naddi,,  ini  ,,
nangi ,v,  berenang , ,
ne,v,ada,  ,
nga  ,,dengan,   ,
nga'a  ,v,  makan , ,
ngara,,  nama,  ,
ngatti,prep,  dari,  ,
ngattu lodo,n,  siang,  ,
ngidi  ,n,  pinggir , ,
nginu  ,v  ,minum  ,,
ngutu,n,  gigi , ,
ni  ,v  ,mimpi,  ,
nidhe,,  itu  ,,
Nnadde,v,  melihat,  ,
no ,pron, dia,  ,
nya nya,,apa-apa,  ,
nyami ,v, mengunyah , ,
pai , n , bakul,  ,
pana , adj,  panas,  ,
pe alle  ,adj,  habis,  ,
pedai li , v  ,berbicara , pedai li nga ne dau au   kamu berbicara dengan siapa  ,
pediri,,  menceritakan,  ,
pehelolo anni  ,v , berbaring , ,
pemade , v,  membunuh  ,,
penge ,n, pikiran,  ,
penyi'o  ,v,meludahi , ,
pereke,v,   menghitung ,  ,
peume,  v , mendekat  ,peumme anni ko au ma nadhi    tolong mendekat kesini  ,
pue , v,  petik  ,,
ra , n,  darah,  ,
rai ,, dari,,
raijua ,n, Raijua,  ,
rau kattu  ,n,rambut,  ,
rau petaddu,n,atap,  ,
rihi  ,adv,terlalu,  ,
ro  ,,yang,  ,
ro jara  ,n,  jalan , ,
ruba  ,n,rubah,  ,
rui  ,n,tulang , ,
ta jagga ta bujju  ,v , berkerja  ,,
ta pake , v,  gunakan , ,
ta tao  ,v,  buat,,
ta,,akan,  ,
tabbo ,v, menuusuk  ,,
